,Student ID,Student Name,Library,Resources,Finance,Scholarships,Academic Date,Study Time,Team,GPA,test,assignment,graduated
0,1324,David Abbott,Average,Online,Paid,No,2019-07-27,Average,Tier 3,2.07,5.1,9.1,Drop out
1,1325,John Ward,Poor,Online,Unpaid,No,2022-04-12,Excellent,Tier 1,1.96,10.9,7.8,Drop out
2,1326,Sarah James,Good,Online,Paid,No,2020-01-09,Poor,Tier 2,3.77,9.3,6.6,Graduated
3,1327,John Zhang,Good,Offline,Paid,No,2021-11-20,Average,Tier 1,1.82,14.6,6.2,Drop out
4,1328,Holly Leonard,Poor,Hybrid,Paid,No,2021-07-30,Poor,Tier 1,3.22,14.6,10.9,Graduated
5,1329,Jonathan Richard,Poor,Offline,Paid,No,2021-01-27,Average,Tier 2,1.3,9.7,6.7,Drop out
6,1330,Joshua Wilson,Average,Hybrid,Paid,No,2020-01-19,Excellent,Tier 2,1.75,14.8,10.3,Graduated
7,1331,Angela Jimenez,Poor,Hybrid,Paid,No,2021-03-16,Average,Tier 2,4.36,9.3,6.9,Graduated
8,1332,Elizabeth Gonzales,Excellent,Hybrid,Paid,No,2021-07-28,Average,Tier 1,3.24,6.8,5.6,Drop out
9,1333,Sandra Martinez,Poor,Online,Paid,No,2021-09-21,Average,Tier 2,4.38,5.7,9.7,Graduated
10,1334,Meghan Larson PhD,Average,Online,Unpaid,No,2021-07-06,Good,Tier 3,1.85,12.6,6.0,Graduated
11,1335,Mary Wu,Excellent,Online,Paid,No,2020-02-15,Good,Tier 2,1.91,11.9,11.6,Graduated
12,1336,Traci Baker,Good,Offline,Paid,No,2021-06-18,Average,Tier 2,3.22,10.5,8.9,Graduated
13,1337,Aaron Weber,Average,Online,Paid,No,2022-01-11,Average,Tier 3,3.26,7.1,11.1,Graduated
14,1338,Debra Mccarthy,Average,Hybrid,Paid,No,2020-11-24,Excellent,Tier 3,1.92,6.4,7.3,Drop out
15,1339,Jamie Thornton,Poor,Offline,Paid,No,2022-02-08,Poor,Tier 3,1.43,6.6,12.4,Drop out
16,1340,Bryan Cortez,Poor,Hybrid,Paid,No,2019-07-19,Excellent,Tier 1,2.98,13.3,9.0,Graduated
17,1341,Michelle Rogers DDS,Excellent,Hybrid,Paid,No,2021-05-10,Average,Tier 1,1.55,13.3,13.3,Graduated
18,1342,Stuart Ware,Average,Offline,Paid,No,2020-03-20,Poor,Tier 3,2.78,14.7,12.0,Graduated
19,1343,Charles Johnson,Poor,Online,Paid,No,2020-01-05,Poor,Tier 1,2.1,10.7,10.6,Drop out
20,1344,Sean Norris,Average,Online,Paid,No,2022-03-14,Poor,Tier 2,1.8,6.5,7.2,Drop out
21,1345,Brittney Simon,Good,Online,Paid,No,2020-11-17,Average,Tier 3,4.7,11.7,7.7,Graduated
22,1346,William Smith,Poor,Hybrid,Paid,No,2019-05-17,Poor,Tier 2,3.34,9.0,14.3,Graduated
23,1347,Dana Carter,Excellent,Offline,Paid,No,2021-02-25,Excellent,Tier 1,4.43,13.2,7.5,Graduated
24,1348,Melissa Schultz,Excellent,Online,Paid,No,2019-06-09,Poor,Tier 2,4.46,12.9,12.5,Graduated
25,1349,Steven Rivera,Good,Offline,Paid,No,2019-08-28,Excellent,Tier 3,1.3,6.3,9.0,Drop out
26,1350,James Martinez,Excellent,Hybrid,Paid,No,2021-12-19,Excellent,Tier 1,4.94,10.3,9.3,Graduated
27,1351,Robert White PhD,Average,Offline,Paid,No,2021-10-03,Excellent,Tier 3,3.5,6.3,7.0,Graduated
28,1352,Andrew Baldwin MD,Poor,Online,Paid,No,2020-04-30,Average,Tier 2,1.98,13.9,10.2,Graduated
