Name,Phone_Number,Experience,Qualification,University,Role,Cert,Date_Of_Birth,Salary
Jennifer Hernandez,120-602-1220,3,Msc,Tier2,Mid,Yes,25/08/1972,98000
Timothy Walker,840-675-8650,5,PhD,Tier2,Senior,Yes,03/12/2013,135500
David Duran,556-293-8643,5,Msc,Tier2,Senior,Yes,19/07/2002,123500
Gloria Ortega,463-559-7474,3,Bsc,Tier3,Mid,No,19/02/1970,85000
Matthew Steele,968-091-7683,5,Bsc,Tier2,Senior,Yes,20/02/1970,111500
Robert Hines,847-238-3139,5,PhD,Tier1,Senior,Yes,21/02/1970,131500
Alex Huerta,771-319-7404,5,PhD,Tier1,Senior,Yes,11/07/1995,131500
Samantha Odom,253-486-8068,5,Bsc,Tier2,Senior,Yes,25/08/1972,111500
Scott Scott,655-474-9471,3,Bsc,Tier1,Junior,Yes,15/04/1988,64500
Matthew Campbell,206-873-0491,5,Msc,Tier1,Senior,No,03/03/1974,112500
Eric Taylor,694-480-1042,2,PhD,Tier3,Mid,Yes,19/03/1999,112000
Brendan Bailey,730-684-4119,5,Bsc,Tier1,Senior,Yes,24/08/1976,107500
Kyle Smith,488-416-8883,4,Bsc,Tier2,Senior,Yes,06/12/1974,107500
Sarah Green,488-230-1713,1,PhD,Tier2,Mid,No,01/10/1999,95000
David Aguirre,705-596-2497,4,Msc,Tier1,Senior,No,05/03/1999,108500
Megan Finley,395-779-1958,4,Msc,Tier2,Senior,No,25/04/1981,112500
Kelly Bell,311-532-3875,5,PhD,Tier2,Senior,Yes,26/04/1981,135500
Kayla Walker,238-794-8312,5,Bsc,Tier3,Senior,Yes,27/04/1981,117500
Danny Nguyen,558-902-7909,1,PhD,Tier2,Mid,Yes,14/01/1980,102000
Natalie Davis,334-458-4380,5,Bsc,Tier3,Senior,Yes,10/05/2004,117500
Kara Krueger,254-024-1432,5,Msc,Tier1,Senior,No,22/12/1996,112500
Aaron Morgan,947-282-8926,4,PhD,Tier1,Senior,No,23/12/1996,120500
James Valencia,832-374-5268,1,Msc,Tier1,Junior,No,29/10/1993,61500
Andrea Scott,469-303-0864,1,Msc,Tier1,Junior,No,04/12/1997,61500
Justin Hill,883-647-4802,2,Bsc,Tier2,Junior,Yes,19/08/1985,64500
Robert Burke,776-279-6797,5,Bsc,Tier1,Senior,No,21/02/1975,100500
Mr. Luis George,418-327-6776,5,,Tier2,Senior,Yes,15/06/2001,111500
Stephanie Horn,420-783-5634,5,Bsc,Tier3,Senior,No,20/09/1999,110500
Whitney Williams,947-139-1714,5,Bsc,Tier2,Senior,No,11/08/1992,104500
John Curry,728-361-0721,5,Bsc,Tier2,Senior,No,30/11/1996,104500
Christopher Petersen,310-123-2873,5,Msc,Tier2,Senior,Yes,16/01/1973,123500
Laura Marshall,614-045-9066,5,Msc,Tier2,Senior,Yes,17/01/1973,123500
William Allen,505-962-3472,1,Msc,Tier3,,Yes,18/01/1973,78500
Jennifer Faulkner,824-348-4354,4,PhD,Tier3,Senior,No,19/01/1973,130500
Maria Stevenson,606-604-9684,3,PhD,Tier3,Junior,Yes,26/07/1982,98500
Jacqueline Jackson,717-212-8617,3,PhD,Tier3,Mid,No,05/08/1987,109000
Marissa Brooks,125-100-9401,5,Bsc,Tier2,Senior,Yes,06/08/1987,111500
Breanna Williams,109-762-7310,2,Bsc,Tier3,Mid,No,07/08/1987,81000
William Huang,311-465-4276,5,PhD,Tier1,Senior,No,08/08/1987,124500
Nicholas Rhodes,210-911-2283,5,PhD,Tier3,Senior,No,09/08/1987,134500
Robert Jones,294-128-9328,2,Bsc,Tier3,Junior,Yes,10/08/1987,70500
Anna Collins,966-387-9490,2,Msc,Tier1,Mid,No,17/10/1999,83000
Matthew Welch,415-921-1345,5,PhD,Tier2,Senior,No,18/10/1999,128500
Whitney Moore,294-513-7323,5,Msc,Tier1,,No,19/10/1999,112500
Samantha Mccormick,163-004-2986,5,PhD,Tier2,Senior,No,02/04/1992,128500
Stacy King,158-934-9495,5,Bsc,Tier1,Senior,No,01/05/1994,100500
Mary Newman,777-929-0416,4,Bsc,Tier2,Senior,No,08/12/1972,100500
Ann Rivas,912-118-8475,5,Msc,Tier2,Senior,Yes,09/12/1972,123500
Robert Wong,468-904-8098,5,Msc,Tier3,,Yes,10/12/1972,129500
Christopher Smith,572-391-6415,2,Bsc,Tier1,Mid,Yes,11/12/1972,78000
Kayla Davis,881-554-6955,3,Msc,Tier2,Junior,No,05/12/1999,73500
Laura Simpson,376-841-0833,5,Msc,Tier2,Senior,Yes,17/04/1973,123500
Dustin Allen,420-194-0511,1,PhD,Tier1,Junior,No,18/04/1973,73500
Kristopher Taylor,449-425-0672,5,Msc,Tier2,Senior,Yes,19/04/1973,123500
Amy Jackson,235-288-6825,2,Msc,Tier2,Mid,Yes,20/04/1973,94000
Jonathan Douglas,656-711-1860,5,PhD,Tier2,Senior,No,23/12/1970,128500
Melanie Smith,160-299-3920,5,Bsc,Tier1,Senior,,11/10/1971,100500
Daniel Patel,416-819-6256,3,Bsc,Tier2,Junior,Yes,11/03/1978,68500
Tammy Smith,320-636-8883,5,Bsc,Tier1,Senior,No,12/03/1978,100500
Melinda Martin,903-121-1691,2,Msc,Tier1,Mid,Yes,13/03/1978,90000
Dr. Joshua Evans,673-972-2453,3,Bsc,Tier3,Mid,Yes,19/02/1988,92000
